ID,Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK
443,Alexander Meyer, GER,GK,Dortmund,31,1991,5,4,405,4.5,0,0,0,0,0
444,Simon Mignolet, BEL,GK,Club Brugge,34,1988,8,8,720,8.0,0,0,0,0,0
445,Arkadiusz Milik, POL,FW,Juventus,28,1994,5,3,338,3.8,2,0,2,2,0
446,Éder Militão, BRA,DF,Real Madrid,24,1998,9,9,747,8.3,1,0,1,1,0
447,James Milner, ENG,MF,Liverpool,36,1986,8,3,242,2.7,0,0,0,0,0
448,Kim Min-jae, KOR,DF,Napoli,25,1996,9,9,785,8.7,0,0,0,0,0
449,Rafa Mir, ESP,"MF,FW",Sevilla,25,1997,3,1,156,1.7,1,0,1,1,0
450,Fabio Miretti, ITA,"MF,FW",Juventus,18,2003,5,3,212,2.4,0,0,0,0,0
451,Josip Mišić, CRO,MF,Dinamo Zagreb,28,1994,6,6,519,5.8,0,0,0,0,0
452,Henrikh Mkhitaryan, ARM,MF,Inter,33,1989,13,11,906,10.1,2,0,2,2,0
453,Anthony Modeste, FRA,FW,Dortmund,34,1988,7,4,339,3.8,0,0,0,0,0
454,Luka Modrić, CRO,MF,Real Madrid,36,1985,10,9,743,8.3,2,1,3,1,1
455,Ali Mohamed, NIG,MF,Maccabi Haifa,26,1995,5,5,356,4.0,0,0,0,0,0
456,Kudus Mohammed, GHA,FW,Ajax,21,2000,6,5,448,5.0,4,3,7,4,0
457,Sadegh Moharrami, IRN,"FW,DF",Dinamo Zagreb,26,1996,6,5,408,4.5,0,0,0,0,0
458,Nahuel Molina, ARG,"DF,MF",Atlético Madrid,24,1998,6,6,467,5.2,0,0,0,0,0
459,Gonzalo Montiel, ARG,DF,Sevilla,25,1997,4,2,226,2.5,1,0,1,1,0
460,Aaron Mooy, AUS,MF,Celtic,31,1990,5,1,153,1.7,0,0,0,0,0
461,Álvaro Morata, ESP,FW,Atlético Madrid,29,1992,5,4,294,3.3,0,0,0,0,0
462,Morato, BRA,DF,Benfica,21,2001,2,1,107,1.2,0,0,0,0,0
463,Alfredo Morelos, COL,FW,Rangers,26,1996,5,3,256,2.8,0,0,0,0,0
